Feature ID	Taxon	Confidence
7691b3c2e98913e74ff69a7f391b99b9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999924882247591
c7a0d30170ffdf2b56232d65242718bc	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.8363254097226478
0ec3620cefa550034faf938b71c36ff0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus; s__	0.8551164957025348
976ab142b87c12d61e224ad2d977fcb2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.7075672362743329
e34e3f2414b4aeee9e1967b9cb594909	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9845551025300359
c8714a265cc6d7f3bf3f207b4c1abc06	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta	0.9976830391288772
2918574d7a4bcbe9d9baa2c7d8737a8e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9993724277876848
08f2c0a02c2ab573027734e71ba9a7fe	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9805555495741599
3c56620652c2287621e2f68f7ba9bcb6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9988233504327417
0bff431956573be64b8d7d9264b0c235	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999747088248
8830eeaeef0c32f14f2ba55a79bd0dd5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.7688098357319254
6be7682305b65131d588897775536881	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__	0.9999790964177232
f817fd0f4642edc04042705bbc56a587	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.8940393938375186
cc1ace345577559c620bb523f62ac611	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9088360975074115
e067ad8a28a933aedd78a9f97239b993	k__Bacteria	0.9512767178473557
f588471e703667cb913371fe59e65623	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9973637292748199
6ff863436ae2efa8d293d6ef56f92049	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.99805697031939
c01c09ff8d6030b1fdd6662b7459b8a1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.9743981920155288
5470f7a69cceae3af3fe18894f2bb114	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999649453534
